,InBallPos,Shirt,Speed,Ts,dist to closest home,dist to closest visitor,zone,inZone,opponentsHalf,distanceToOpponentGoal,distanceToOwnGoal,angleOpponentToPassline,distanceToInPossession,distanceToOpponentRating,angleToPasslineRating,distanceToPossessionRating,distanceToOpponentGoalRating,curPositioningRating,PlayerID,positioningRating
805,0.0,0.0,1.27,3.5,23.954,34.818000000000005,0.0,0,0,98.0407808312439,7.193379317122101,,,,,,,,,
806,0.0,0.0,3.38,3.5,13.433,10.01,0.0,0,0,66.90082236415334,41.98988012604942,,,,,,,,,
807,0.0,0.0,3.02,3.5,9.513,15.702,0.0,0,0,72.39442140109969,32.745110322000755,,,,,,,,,
808,0.0,0.0,3.63,3.5,8.905,7.393,0.0,0,0,76.75710756014716,34.55667172920448,,,,,,,,,
809,0.0,0.0,3.12,3.5,8.735,7.542000000000002,0.0,0,0,79.45007582752831,41.518845708906696,,,,,,,,,
810,0.0,0.0,3.97,3.5,9.513,7.972,0.0,0,0,65.30022532886086,39.98499003376142,,,,,,,,,
811,0.0,28.0,3.22,3.5,8.905,11.374,0.0,0,0,75.33070864527957,31.146198243124314,,,,,,,,,
812,0.0,30.0,4.16,3.5,10.525,2.441,0.0,0,0,62.44955828506716,46.00453597201041,,,,,,,,,
813,0.0,0.0,4.09,3.5,8.735,4.333,0.0,0,0,70.93660827809573,44.545172510609945,,,,,,,,,
814,0.0,0.0,2.58,3.5,13.239,3.35,0.0,0,0,53.95475920620905,51.71098568969654,,,,,,,,,
815,0.0,0.0,3.63,3.5,13.239,4.41,0.0,0,0,42.99118301466011,62.08020471132485,,,,,,,,,
816,0.0,1.0,2.0,3.5,30.271,25.888,0.0,0,0,92.31186788815401,12.728352328561618,,,,,,,,,
817,0.0,6.0,4.2,3.5,12.314,12.976,0.0,0,0,63.106747697849244,45.77326299271224,,,,,,,,,
818,0.0,5.0,1.23,3.5,4.41,9.718,0.0,0,0,66.48597363354169,38.61469525970651,,,,,,,,,
819,0.0,4.0,2.99,3.5,10.222,9.718,0.0,0,0,66.49563308969996,39.64277008484649,,,,,,,,,
820,0.0,2.0,3.88,3.5,10.01,11.991,0.0,0,0,51.99264806681806,58.3528529979469,,,,,,,,,
821,0.0,3.0,5.28,3.5,7.542000000000002,13.417,0.0,0,0,49.01704149579001,75.53231333012381,,,,,,,,,
822,0.0,11.0,4.95,3.5,2.441,5.691,0.0,0,0,48.18891840454608,60.01068119093467,,,,,,,,,
823,0.0,8.0,5.12,3.5,10.052,9.365,0.0,0,0,50.63254259860944,54.686235653955926,,,,,,,,,
824,0.0,7.0,3.72,3.5,3.35,9.365,0.0,0,0,48.41123807547169,57.0640690101924,,,,,,,,,
825,0.0,9.0,5.7,3.5,4.333,8.196,0.0,0,0,41.793093041793405,70.38758857923746,,,,,,,,,
826,0.0,10.0,4.28,3.5,3.59,5.691,0.0,0,0,42.50238422724071,65.17923492186756,,,,,,,,,
827,0.0,1.0,,3.6,10.561,3.465,0.0,0,0,,,,,,,,,,,
828,0.0,0.0,1.25,3.6,23.782,34.306,0.0,0,0,98.09292150812922,7.174346660149617,,,,,,,,,
829,0.0,0.0,3.45,3.6,13.418,9.993,0.0,0,0,67.1498888830056,41.65594287733744,,,,,,,,,
