,PlayerID,TeamID,Ts,X,Y,Acceleration,Snelheid,Ts,TeamCentXA,TeamCentYA,LengthA,WidthA,TeamCentXB,TeamCentYB,LengthB,WidthB,distToCent,SpreadA,stdSpreadA,SpreadB,stdSpreadB,SurfaceA,SumVerticesA,ShapeRatioA,SurfaceB,SumVerticesB,ShapeRatioB,vNorm,distFrame,avgRelSpeedPlayerBall,control,distToBall,InPossession,ballPosession
70,ball,,7.2,24.024,-7.205,-2.73,7.51,7.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
71,ball,,7.3,23.339,-8.516,10.69,8.7,7.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
72,ball,,7.4,22.5,-10.156,11.8,9.82,7.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
73,ball,,7.5,20.256,-14.541,7.62,10.67,7.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
74,ball,,7.6,17.837,-19.213,0.63,11.06,7.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
75,ball,,7.7,18.099,-18.593,-3.14,10.97,7.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
76,ball,,7.8,18.015,-18.76,-7.91,10.35,7.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
77,ball,,7.9,17.029,-20.184,-1.38,9.36,7.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
78,ball,,8.0,16.166,-20.839,8.52,10.21,8.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
79,ball,,8.1,15.427,-20.418,2.78,11.06,8.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
80,ball,,8.2,14.672,-19.985,-4.11,11.21,8.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
81,ball,,8.3,13.923,-19.556,-12.34,9.6,8.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
82,ball,,8.4,13.183,-19.134,-7.39,8.68,8.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
83,ball,,8.5,12.445,-18.712,-1.7,8.38,8.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
84,ball,,8.6,11.714,-18.287,-0.66,8.33,8.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
85,ball,,8.700000000000001,10.996,-17.875999999999994,-0.8,8.25,8.700000000000001,,,,,,,,,,,,,,,,,,,,,,,,,0,
86,ball,,8.8,10.277,-17.465,-1.06,8.16,8.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
87,ball,,8.9,9.575,-17.066,-1.06,8.05,8.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
88,ball,,9.0,8.892000000000003,-16.676,-1.01,7.95,9.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
89,ball,,9.1,8.206,-16.277,-0.94,7.85,9.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
90,ball,,9.2,7.517,-15.88,-1.05,7.76,9.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
91,ball,,9.3,6.848,-15.494000000000002,-1.39,7.63,9.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
92,ball,,9.4,6.2,-15.13,-1.16,7.51,9.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
93,ball,,9.5,5.5539999999999985,-14.757,-1.11,7.4,9.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
94,ball,,9.6,4.901,-14.382,-1.42,7.27,9.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
95,ball,,9.7,4.265,-14.017,-1.39,7.12,9.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
96,ball,,9.8,3.658,-13.672,-1.01,7.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
97,ball,,9.9,3.077,-13.309,-1.28,6.88,9.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
98,ball,,10.0,2.5380000000000003,-12.898,-1.54,6.75,10.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
99,ball,,10.1,2.046,-12.451,-1.1,6.62,10.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
100,ball,,10.2,1.595,-11.986,-1.43,6.49,10.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
101,ball,,10.3,1.144,-11.523,-1.23,6.35,10.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
102,ball,,10.4,0.706,-11.074000000000002,-1.33,6.23,10.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
103,ball,,10.5,0.282,-10.636,-1.37,6.1,10.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
104,ball,,10.6,-0.156,-10.189,-1.23,5.96,10.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
105,ball,,10.7,-0.578,-9.759,-1.59,5.83,10.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
106,ball,,10.8,-0.972,-9.354,-1.73,5.67,10.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
107,ball,,10.9,-1.366,-8.949,-1.66,5.5,10.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
108,ball,,11.0,-1.744,-8.562999999999999,-1.73,5.34,11.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
109,ball,,11.1,-2.114,-8.181000000000001,-2.36,5.1,11.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
110,ball,,11.2,-2.4730000000000003,-7.81,-3.16,4.82,11.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
111,ball,,11.3,-2.813,-7.465,-0.52,4.65,11.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
112,ball,,11.4,-3.137,-7.136,-0.83,4.53,11.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
113,ball,,11.5,-3.447,-6.818,5.64,4.82,11.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
114,ball,,11.6,-3.718,-6.537000000000001,5.89,5.4,11.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
115,ball,,11.7,-3.982,-6.407,6.13,5.99,11.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
116,ball,,11.8,-4.234,-6.676,6.62,6.63,11.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
117,ball,,11.9,-4.494,-6.787000000000001,6.83,7.33,11.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
118,ball,,12.0,-4.813,-6.025,7.41,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
119,ball,,12.1,-5.1629999999999985,-4.971,5.67,8.78,12.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
120,ball,,12.2,-5.511,-3.919,2.78,9.27,12.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
121,ball,,12.3,-5.8679999999999986,-2.8480000000000003,-0.57,9.13,12.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
122,ball,,12.4,-6.235,-1.7519999999999998,1.46,9.31,12.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
123,ball,,12.5,-6.5870000000000015,-0.69,-5.08,9.09,12.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
124,ball,,12.6,-6.957000000000002,0.42,-5.25,8.56,12.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
125,ball,,12.7,-7.212999999999999,1.192,-5.18,8.04,12.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
126,ball,,12.8,-7.121,1.4169999999999998,-5.85,7.48,12.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
127,ball,,12.9,-6.567,1.137,-5.83,6.88,12.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
128,ball,,13.0,-6.022,0.863,-6.19,6.31,13.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
129,ball,,13.1,-5.501,0.603,-4.19,5.68,13.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
130,ball,,13.2,-4.978,0.341,-0.18,5.41,13.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
131,ball,,13.3,-4.465,0.086,0.62,5.67,13.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
132,ball,,13.4,-3.968,-0.16,-1.04,5.57,13.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
133,ball,,13.5,-3.478,-0.405,-1.0,5.46,13.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
134,ball,,13.6,-2.994,-0.649,-0.91,5.37,13.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
135,ball,,13.7,-2.514,-0.8909999999999999,-2.01,5.32,13.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
